date,m-1,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,e,v,Qp,hs,ts,h10,hmax,tz,thmax,hmaxhs,corr_H,corr_T
2016-07-21 00:00:00,-0.06,0.47,0.06,0.01,0.00,0.00,2.74,0.09,11.26,190.26,34.30,7.19,8.21,0.99,0.55,2.50,2.51,10.00,3.10,3.54,7.33,10.93,1.41,0.34,0.32
2016-07-21 01:00:00,-0.04,0.34,0.04,0.01,0.00,0.00,2.33,0.09,11.26,182.05,31.46,6.84,7.84,0.99,0.56,2.21,2.23,10.02,2.79,3.56,6.99,8.59,1.60,0.33,0.18
2016-07-21 02:00:00,-0.05,0.42,0.05,0.01,0.00,0.00,2.60,0.09,11.26,180.49,33.91,7.75,8.86,0.99,0.55,2.97,2.45,10.05,3.16,3.87,7.26,10.15,1.58,0.49,0.25
2016-07-21 03:00:00,-0.04,0.33,0.04,0.01,0.00,0.00,2.31,0.09,11.26,192.57,38.37,7.24,8.28,0.99,0.55,2.18,2.14,10.31,2.74,3.28,7.51,12.50,1.54,0.41,0.40
2016-07-21 04:00:00,-0.05,0.41,0.05,0.01,0.00,0.00,2.55,0.09,11.26,186.22,32.50,7.89,8.87,0.99,0.52,2.99,2.27,10.24,3.02,4.83,7.91,10.94,2.12,0.50,0.30
2016-07-21 05:00:00,-0.04,0.41,0.04,0.01,0.00,0.00,2.55,0.08,12.29,166.68,36.41,8.10,9.03,0.99,0.49,2.71,2.49,10.90,3.02,4.16,8.57,11.72,1.67,0.42,0.34
2016-07-21 06:00:00,-0.04,0.39,0.04,0.01,0.00,0.00,2.52,0.09,11.26,183.49,32.88,8.08,8.99,0.99,0.49,2.44,2.41,10.81,3.01,3.64,8.10,10.94,1.51,0.43,0.28
2016-07-21 07:00:00,-0.03,0.22,0.03,0.00,0.00,0.00,1.90,0.09,11.26,161.71,48.49,6.90,7.89,0.99,0.55,1.67,1.85,10.09,2.31,2.75,7.58,10.94,1.49,0.22,0.09
2016-07-21 08:00:00,-0.04,0.34,0.04,0.01,0.00,0.00,2.35,0.08,12.29,166.80,36.30,7.73,8.75,0.99,0.53,2.68,2.20,10.37,2.92,3.71,8.05,10.94,1.68,0.42,0.25
2016-07-21 09:00:00,-0.03,0.28,0.03,0.00,0.00,0.00,2.12,0.09,11.26,172.42,34.87,7.52,8.55,0.99,0.54,2.32,2.07,10.33,2.62,3.06,7.87,11.72,1.48,0.39,0.16
